First Name,Last Name,Electorate,Party
Christopher,COKER,Auckland Central,Aotearoa Legalise Cannabis Party
Paul,DAVIE,Auckland Central,Rock the Vote NZ
Madeleine,KANE,Auckland Central,Animal Justice Party
Andi Shen,LIU,Auckland Central,Independent
Mahesh,MURALIDHAR,Auckland Central,National Party
Felix,POOLE,Auckland Central,ACT New Zealand
Oscar,SIMS,Auckland Central,Labour Party
Guy Dennis,SLOCUM,Auckland Central,New Nation Party
Chlöe,SWARBRICK,Auckland Central,Green Party
Damian,SYCAMORE,Auckland Central,The Opportunities Party (TOP)
Doug,ALLINGTON,Banks Peninsula,DemocracyNZ
Paran,JEET,Banks Peninsula,Animal Justice Party
Lindsay,KERSLAKE,Banks Peninsula,New Zealand First Party
Tracey,McLELLAN,Banks Peninsula,Labour Party
Lisa Marie,MEAD,Banks Peninsula,NewZeal
Lan,PHAM,Banks Peninsula,Green Party
Laura,TRASK,Banks Peninsula,ACT New Zealand
Peter Keith,WAKEMAN,Banks Peninsula,Independent
Vanessa,WEENINK,Banks Peninsula,National Party
Wendy,GILLESPIE,Bay of Plenty,Leighton Baker Party
Caitlin,GRATTAN,Bay of Plenty,Animal Justice Party
Cameron,LUXTON,Bay of Plenty,ACT New Zealand
Matthew,MACMILLAN,Bay of Plenty,Green Party
Kirsten,MURFITT,Bay of Plenty,New Zealand First Party
Tom,RUTHERFORD,Bay of Plenty,National Party
Pare,TAIKATO,Bay of Plenty,Labour Party
Taupo,WAHED,Bay of Plenty,Independent
John,ARMSTRONG,Botany,New Zealand Loyal
Bo,BURNS,Botany,ACT New Zealand
Dieuwe,DE BOER,Botany,New Conservatives
Christopher,LUXON,Botany,National Party
Robert,McNEIL,Botany,Animal Justice Party
Kharag,SINGH,Botany,Labour Party
Mark,ARNEIL,Christchurch Central,New Zealand First Party
Michael,BRITNELL,Christchurch Central,Aotearoa Legalise Cannabis Party
Kahurangi,CARTER,Christchurch Central,Green Party
Matthew Hunter,FISKEN,Christchurch Central,ACT New Zealand
Sarah,JACKSON,Christchurch Central,Animal Justice Party
Dale Aotea,STEPHENS,Christchurch Central,National Party
Duncan,WEBB,Christchurch Central,Labour Party
Sahra,AHMED,Christchurch East,Green Party
Reuben,DAVIDSON,Christchurch East,Labour Party
Helen,HOUGHTON,Christchurch East,New Conservatives
Paula,LAMBERT,Christchurch East,Aotearoa Legalise Cannabis Party
Sam,PARK,Christchurch East,Independent
Toni,SEVERIN,Christchurch East,ACT New Zealand
Matt,STOCK,Christchurch East,National Party
Danette,WERETA,Christchurch East,Animal Justice Party
Shane,WIREMU,Christchurch East,New Zealand First Party
Caleb,ANSELL,Coromandel,New Zealand First Party
Ray,COBB,Coromandel,New Zealand Loyal
Pamela,GREALEY,Coromandel,Green Party
Beryl,RILEY,Coromandel,Labour Party
Scott,SIMPSON,Coromandel,National Party
Sarai,TEPOU,Coromandel,NZ Outdoors & Freedom Party
Joanna,VERBURG,Coromandel,ACT New Zealand
Rachel,BROOKING,Dunedin,Labour Party
Cyndee,ELDER,Dunedin,New Conservatives
Francisco,HERNANDEZ,Dunedin,Green Party
Keegan,LANGEVELD,Dunedin,New Zealand First Party
Steve,LAWTON,Dunedin,New Zealand Loyal
Adrian,McDERMOTT,Dunedin,Aotearoa Legalise Cannabis Party
Tim,NEWMAN,Dunedin,ACT New Zealand
Jim,O'MALLEY,Dunedin,Independent
Ben,PETERS,Dunedin,The Opportunities Party (TOP)
Pamela,TAYLOR,Dunedin,Independent
Michael,WOODHOUSE,Dunedin,National Party
Monaco,CARACAS,East Coast,Independent
Tamati,COFFEY,East Coast,Labour Party
Gordon John,DICKSON,East Coast,Independent
Fallyn,FLAVELL,East Coast,Te Pāti Māori
