Minister,Date,Schedule Time,Start Time,End Time,Title,Type,Portfolio,Location,Notes,Attendees Text,Attendees Names
Andrew Hoggard,5/29/2024,6:00 PM - 7:30 PM,6:00 PM,7:30 PM,"Speaker Invites New MPS to an IDNAD (Information, Discussion, Nibbles and Drinks)",ATTEND,Ministerial,Parliament Buildings,,Event Attendees,
Andrew Hoggard,5/8/2024,5:30 PM - 7:30 PM,5:30 PM,7:30 PM,2024 Europe Day Reception,ATTEND,Ministerial,Parliament Buildings,,Event Attendees,
Andrew Hoggard,5/28/2024,5:45 PM - 7:30 PM,5:45 PM,7:30 PM,71st Everest Day at Parliament,ATTEND,Ministerial,Parliament Buildings,,Event Attendees,
Andrew Hoggard,10/4/2024,12:00 PM - 4:00 PM,12:00 PM,4:00 PM,AgResearch Grasslands,ATTEND,Associate Environment,Palmerston North,,Attendees,
Andrew Hoggard,4/10/2024,12:00 PM - 1:30 PM,12:00 PM,1:30 PM,Agrizero Event,ATTEND,Ministerial,Parliament Buildings,,Event Attendees,
Andrew Hoggard,5/23/2024,4:30 PM - 6:30 PM,4:30 PM,6:30 PM,Announcement of the 2024 Freshwater Champions Aotearoa New Zealand,ATTEND,Associate Environment,Te Papa,,Event Attendees,
Andrew Hoggard,6/7/2024,1:45 PM - 2:40 PM,1:45 PM,2:40 PM,Avocado Orchard Visit,ATTEND,Biosecurity,Te Puke,,NZ Avocado Representatives,
Andrew Hoggard,6/14/2024,10:00 AM - 10:45 AM,10:00 AM,10:45 AM,Battle of the New Zealand Young Farmer Grand Finalists,ATTEND,Associate Agriculture,Mystery Creek,,Event Attendees,
Andrew Hoggard,6/13/2024,2:30 PM - 6:00 PM,2:30 PM,6:00 PM,Bi-Lateral Meeting with Chinese Delegation,ATTEND,Ministerial,Government House,,Multiple Ministers & Chinese Delegation,
Andrew Hoggard,7/24/2024,10:00 AM - 5:30 PM,10:00 AM,5:30 PM,Biodiversity Stewardship Pilot Trip,ATTEND,Associate Environment,South Australia,,Attendees,
Andrew Hoggard,9/11/2024,7:00 AM - 8:30 AM,7:00 AM,8:30 AM,"Breakfast with Minister Grigg, DairyNZ & Dairy Companies Assoc of NZ",ATTEND,Food Safety,Wellington,,Attendees,
Andrew Hoggard,10/3/2024,2:00 PM - 3:00 PM,2:00 PM,3:00 PM,Craigmore Sustainables,ATTEND,Associate Environment,Canterbury,,Attendees,
Andrew Hoggard,6/6/2024,5:30 PM - 8:30 PM,5:30 PM,8:30 PM,Fed Farmers Meeting with other Farmers and Councils,ATTEND,Associate Environment,Te Puke,,Event Attendees,
Andrew Hoggard,6/12/2024,11:00 AM - 11:30 AM,11:00 AM,11:30 AM,Federated Farmers and Fieldays Rural Advocacy Hub Opening,ATTEND,Associate Agriculture,Mystery Creek,,Event Attendees,
Andrew Hoggard,10/11/2024,8:00 AM - 5:00 PM,8:00 AM,5:00 PM,Feilding Rural Day,ATTEND,Ministerial,Palmerston North,,Attendees,
Andrew Hoggard,7/24/2024,7:00 PM - 9:00 PM,7:00 PM,9:00 PM,FMM Ministers' Dinner,ATTEND,Food Safety,Adelaide,,FMM Ministers,
Andrew Hoggard,7/25/2024,9:30 AM - 1:30 AM,9:30 AM,1:30 AM,Food Ministers' Meeting,ATTEND,Food Safety,Adelaide,,Food Ministers,
Andrew Hoggard,9/18/2024,5:30 PM - 6:30 PM,5:30 PM,6:30 PM,FSANZ Stakeholder Event,ATTEND,Food Safety,Wellington,,Attendees,
Andrew Hoggard,9/10/2024,6:00 PM - 7:30 PM,6:00 PM,7:30 PM,Function to launch a Report commissioned by Zespri and CMA CGM,ATTEND,Associate Environment,Wellington,,Attendees,
Andrew Hoggard,6/13/2024,2:00 PM - 2:30 PM,2:00 PM,2:30 PM,Greeting of Chinese Delegation,ATTEND,Ministerial,Government House,,Multiple Ministers & Chinese Delegation,
Andrew Hoggard,5/24/2024,10:00 AM - 12:00 PM,10:00 AM,12:00 PM,Growing Future Farmers Farm Visit,ATTEND,Associate Agriculture,Taihape,,Growing Future Farmers Representatives,
Andrew Hoggard,10/9/2024,12:00 PM - 2:00 PM,12:00 PM,2:00 PM,Heli Flight,ATTEND,Biosecurity,Marlborough,,Officials & DOC & John Oswald,John Oswald
Andrew Hoggard,10/17/2024,5:45 PM - 6:30 PM,5:45 PM,6:30 PM,Horticulture NZ Graduation,ATTEND,Associate Agriculture,Wellington,,Attendees,
Andrew Hoggard,10/17/2024,12:00 PM - 12:45 PM,12:00 PM,12:45 PM,Horticulture NZ Leadership Programme Q & A Session,ATTEND,Associate Agriculture,Wellington,,Attendees,
Andrew Hoggard,9/5/2024,10:00 AM - 11:00 AM,10:00 AM,11:00 AM,Investiture Ceremony,ATTEND,Ministerial,Wellington,,Attendees,
Andrew Hoggard,5/3/2024,9:00 AM - 11:00 AM,9:00 AM,11:00 AM,Kaipara Moana Meeting,ATTEND,Associate Environment,Auckland,,Event Attendees,
Andrew Hoggard,9/11/2024,6:15 PM - 7:15 PM,6:15 PM,7:15 PM,Kellogg Function,ATTEND,Associate Agriculture,Wellington,,Attendees,
Andrew Hoggard,6/7/2024,10:00 AM - 10:50 AM,10:00 AM,10:50 AM,Kiwifruit Orchard Visit,ATTEND,Biosecurity,Te Puke,,Kiwifruit Vine Health Representatives,
Andrew Hoggard,6/7/2024,11:00 AM - 12:00 PM,11:00 AM,12:00 PM,Kiwifruit/ Avocado Packhouse Visit,ATTEND,Biosecurity,Te Puke,,Kiwifruit Vine Health & NZ Avocado Representatives,
Andrew Hoggard,6/12/2024,8:00 AM - 9:55 AM,8:00 AM,9:55 AM,KPMG Agribusiness Agenda Launch Breakfast,ATTEND,Associate Agriculture,Mystery Creek,,Event Attendees,
Andrew Hoggard,6/12/2024,10:15 AM - 10:45 AM,10:15 AM,10:45 AM,Launch of the Science for Farmers Site,ATTEND,Associate Agriculture,Mystery Creek,,Event Attendees,
Andrew Hoggard,8/1/2024,7:00 AM - 8:30 AM,7:00 AM,8:30 AM,Leadership Breakfast with leaders in biology and chemistry innovation,ATTEND,Food Safety,Wellington,,Attendees,
Andrew Hoggard,10/3/2024,3:30 PM - 4:30 PM,3:30 PM,4:30 PM,Lincoln University Dairy Farm,ATTEND,Associate Environment,Canterbury,,Attendees,
Andrew Hoggard,9/12/2024,12:30 PM - 1:45 PM,12:30 PM,1:45 PM,Manawatu Chamber of Commerce - Lunch Meeting,ATTEND,Ministerial,Palmerston North,,Event Attendees,
Andrew Hoggard,9/12/2024,6:00 PM - 10:00 PM,6:00 PM,10:00 PM,Manawatu Club Dinner,ATTEND,Ministerial,Palmerston North,,Event Attendees,
Andrew Hoggard,10/14/2024,9:50 AM - 3:30 PM,9:50 AM,3:30 PM,Marlborough Marine Biosecurity Community,ATTEND,Biosecurity,Marlborough,,Event Attendees,
Andrew Hoggard,10/11/2024,6:00 PM - 9:30 PM,6:00 PM,9:30 PM,"Massey Agriculture, Horticulture and Environmental Science Awards",ATTEND,Ministerial,Palmerston North,,Attendees,
Andrew Hoggard,5/8/2024,8:00 PM - 8:45 PM,8:00 PM,8:45 PM,Ministerial Group,ATTEND,Ministerial,Parliament Buildings,,Multiple Ministers,
Andrew Hoggard,5/22/2024,6:30 PM - 7:30 PM,6:30 PM,7:30 PM,Ministerial Group,ATTEND,Ministerial,Parliament Buildings,,Multiple Ministers,
Andrew Hoggard,6/11/2024,11:00 AM - 11:45 AM,11:00 AM,11:45 AM,Ministerial Group Meeting,ATTEND,Ministerial,Microsoft Teams Meeting,,Multiple Ministers,
Andrew Hoggard,5/20/2024,1:30 PM - 3:00 PM,1:30 PM,3:00 PM,MPI Animal Health Lab,ATTEND,Biosecurity,Wellington,,MPI Officials,
